date,date_format,open,close
"Jan 20, 2016",20160120,19332.22,18886.3
"Jan 19, 2016",20160119,19283.57,19635.81
"Jan 18, 2016",20160118,19287.38,19237.45
"Jan 15, 2016",20160115,19781.46,19520.77
"Jan 14, 2016",20160114,19578.92,19817.41
"Jan 13, 2016",20160113,20028.86,19934.88
"Jan 12, 2016",20160112,20030.03,19711.76
"Jan 11, 2016",20160111,19997.42,19888.5
"Jan 8, 2016",20160108,20491.88,20453.71
"Jan 7, 2016",20160107,20772.6,20333.34
"Jan 6, 2016",20160106,21142.63,20980.81
"Jan 5, 2016",20160105,21318.69,21188.72
"Jan 4, 2016",20160104,21782.62,21327.12
"Dec 31, 2015",20151131,21892.25,21914.4
"Dec 30, 2015",20151130,22094.59,21882.15
"Dec 29, 2015",20151129,21923.27,21999.62
"Dec 28, 2015",20151128,22151.73,21919.62
"Dec 24, 2015",20151124,22207.82,22138.13
"Dec 23, 2015",20151123,21869.4,22040.59
"Dec 22, 2015",20151122,21846.9,21830.02
"Dec 21, 2015",20151121,21641.17,21791.68
"Dec 18, 2015",20151118,21656.56,21755.56
"Dec 17, 2015",20151117,21841.09,21872.06
"Dec 16, 2015",20151116,21557.73,21701.21
"Dec 15, 2015",20151115,21215.54,21274.37
"Dec 14, 2015",20151114,21063.28,21309.85
"Dec 11, 2015",20151111,21719.17,21464.05
"Dec 10, 2015",20151110,21714.23,21704.61
"Dec 9, 2015",20151109,21773.77,21803.76
"Dec 8, 2015",20151108,22058.55,21905.13
"Dec 7, 2015",20151107,22336.32,22203.22
"Dec 4, 2015",20151104,22142.11,22235.89
"Dec 3, 2015",20151103,22327.04,22417.01
"Dec 2, 2015",20151102,22471.35,22479.69
"Dec 1, 2015",20151101,22197.81,22381.35
"Nov 30, 2015",20151130,21974.81,21996.42
"Nov 27, 2015",20151127,22555.42,22068.32
"Nov 26, 2015",20151126,22749.6,22488.94
"Nov 25, 2015",20151125,22533.53,22498.0
"Nov 24, 2015",20151124,22593.09,22587.63
"Nov 23, 2015",20151123,22760.05,22665.9
"Nov 20, 2015",20151120,22510.45,22754.72
"Nov 19, 2015",20151119,22423.88,22500.22
"Nov 18, 2015",20151118,22331.77,22188.26
"Nov 17, 2015",20151117,22315.18,22264.25
"Nov 16, 2015",20151116,21958.28,22010.82
"Nov 13, 2015",20151113,22494.09,22396.14
"Nov 12, 2015",20151112,22477.6,22888.92
"Nov 11, 2015",20151111,22394.15,22352.17
"Nov 10, 2015",20151110,22505.7,22401.7
"Nov 9, 2015",20151109,22753.51,22726.77
"Nov 6, 2015",20151106,22914.2,22867.33
"Nov 5, 2015",20151105,23045.1,23051.04
"Nov 4, 2015",20151104,22737.44,23053.57
"Nov 3, 2015",20151103,22603.15,22568.43
"Nov 2, 2015",20151102,22502.28,22370.04
"Oct 30, 2015",20151030,22785.86,22640.04
"Oct 29, 2015",20151029,23054.53,22819.94
"Oct 28, 2015",20151028,23070.7,22956.57
"Oct 27, 2015",20151027,23053.12,23142.73
"Oct 26, 2015",20151026,23423.64,23116.25
"Oct 23, 2015",20151023,23220.38,23151.94
"Oct 22, 2015",20151022,22795.58,22845.37
"Oct 20, 2015",20151020,22991.6,22989.22
"Oct 19, 2015",20151019,23085.61,23075.61
"Oct 16, 2015",20151016,23133.59,23067.37
"Oct 15, 2015",20151015,22667.42,22888.17
"Oct 14, 2015",20151014,22398.82,22439.91
"Oct 13, 2015",20151013,22677.6,22600.46
"Oct 12, 2015",20151012,22614.33,22730.93
"Oct 9, 2015",20151009,22615.94,22458.8
"Oct 8, 2015",20151008,22588.69,22354.91
"Oct 7, 2015",20151007,21884.73,22515.76
"Oct 6, 2015",20151006,22169.1,21831.62
"Oct 5, 2015",20151005,21930.97,21854.5
"Oct 2, 2015",20151002,21172.94,21506.09
"Sep 30, 2015",20150930,20795.93,20846.3
"Sep 29, 2015",20150929,20579.22,20556.6
"Sep 25, 2015",20150925,21070.39,21186.32
"Sep 24, 2015",20150924,21304.9,21095.98
"Sep 23, 2015",20150923,21529.47,21302.91
"Sep 22, 2015",20150922,21794.34,21796.58
"Sep 21, 2015",20150921,21614.43,21756.93
"Sep 18, 2015",20150918,21807.25,21920.83
"Sep 17, 2015",20150917,22172.68,21854.63
"Sep 16, 2015",20150916,21731.34,21966.66
"Sep 15, 2015",20150915,21527.53,21455.23
"Sep 14, 2015",20150914,21678.88,21561.9
"Sep 11, 2015",20150911,21710.13,21504.37
"Sep 10, 2015",20150910,21667.86,21562.5
"Sep 9, 2015",20150909,21632.69,22131.31
"Sep 8, 2015",20150908,20636.83,21259.04
"Sep 7, 2015",20150907,20683.31,20583.52
"Sep 4, 2015",20150904,21158.93,20840.61
"Sep 2, 2015",20150902,21101.42,20934.94
"Sep 1, 2015",20150901,21692.78,21185.43
"Aug 31, 2015",20150831,21793.02,21670.58
"Aug 28, 2015",20150828,22424.4,21612.39
"Aug 27, 2015",20150827,21758.62,21838.54
